#,Years of experience,Company that you applied for,Position that you apply for,Company where you worked previously,Your last position at your last company where you worked,Skills,Intro,Why me,Experience,Why company,Outro,Quality intro,Quality why me,Quality experience,Quality why company,Quality outro,,,,Skills
40,1,Amazon,Junior QA specialist,Microsoft,Junior QA specialist,"POSTman, SQL, Jira, Slack, Structured approach",,"I want to work at a company that is focused on user experience, and is committed to delivering great products and services to its customers. For that it have to be that quality of the product be the highest. This requires a lot of hard work and diligence, as well as an ability to learn quickly. And I am passionate about both software development and QA. I enjoy interacting with people, learning new things, and building relationships.","The job I have applied for is a Junior QA Specialist position within a Microsoft group. This is a very exciting position, as I would be working in the Microsoft Cloud space. I enjoy working with customers, solving problems and understanding their needs. Additionally, I like working on projects, which I feel would be a good fit for me.","The company I am applying for is very interesting, because they make a big effort to make their customer's experience better. They are a small but growing company, and they seem to have a bright future. As the youngest member of their team, it would be great to work with them.",,0,1,1,1,0,,,,"UX/UI, Figma, Adobe Photoshop, UX-tests, Prototyping, Adobe XD, People management, Jira, Slack, Team management, Hiring, Team building, KPI, OKR, CJM"
41,0,Early Learners Elementary School,English / Language Arts teacher,University of South Florida,Student,"English
Communication
Conflict resolution
Organisation
Patience",,"I am excited about the opportunity to teach at Early Learners Elementary School because it would be a pleasure to return to my own elementary school as a teacher. I would be a great candidate for the third grade English / Language Arts teacher position because I have the training, skills and personality to provide children a solid foundation for a lifelong love of learning. This position aligns perfectly with my goal of playing an active role in the classroom as I prepare for advancement into administration.","As a recent graduate from the University of South Florida with a Bachelor of Science in Elementary Education I have the required training for the third grade English / Language Arts teacher position at Early Learners Elementary School. Relevant course work included Emergent Literacy Strategies and Assessment, Learning and Development within a School Context and Creating and Differentiating Learning Environments. I graduated with High Honors and was a member of the SunCoast Area Teacher Training and Educational Research Program (SCATTER), Kappa Delta Pi and eduCARE. My prior experience in customer service in the retail industry also gave me the patience and skills needed for effective classroom management.",One thing that attracted me most to Early Learners Elementary School is the volunteer work the school does to give back to our disadvantaged youth. I am also passionate about empowering every student with a love of learning and volunteer regularly for my local YMCA Club as an after-school tutor. I look forward to meeting you in person during an interview to further discuss my qualifications and how I will be an asset to the teaching team at Early Learners Elementary School.,,,1,1,1,,,,,"UX/UI, Figma, GameDev, Axure, MS Visio, Figma, Adobe InDesign, Unity"
42,0,Nielsen,Marketing analyst,University of Georgia,Student,"advertising
PR
product development
market research
Marketing Analytics
Marketing Management
Survey Research
Strategic Internet Marketing
Integrated Marketing Communications
",,"I came across the job description on [Website Name] and was delighted to find that my academic accomplishments meet all of the necessary requirements. Using my knowledge of the above, I designed a marketing campaign for a local pet grooming business that yielded the highest return on investment based on our given budget. The campaign was so well received that I was awarded third place in UGA’s business plan competition.","As a junior marketing student at the University of Georgia, I have acquired skills in advertising, PR, product development, and market research. Currently I hold a 3.8 GPA and have been on the Dean’s List every semester. While in the College of Business, I have strategically focused my coursework in the following areas:
•	Marketing Analytics
•	Marketing Management
•	Survey Research
•	Strategic Internet Marketing
•	Integrated Marketing Communications
","I am seeking a challenging but rewarding internship, which is why I was drawn to this exciting opportunity. Nielsen is known for great corporate culture and high rated by its employees: 77% of employees at Nielsen say it is a great place to work compared to 57% of employees at a typical U.S.-based company.
That is why I am sure Nielsen is a perfect place to begin career in and developing strong skills to become a high qualified professional.",,,"0,9","0,8",1,,,,,"UX/UI, Figma, GameDev, Axure, MS Visio, Figma, Adobe InDesign, Unity, Communication, People Management, Project Management, MS Office, Presentation, Unreal Engine 4"
43,0,SWA,Cloud Engineer,MIT,Student,"cloud database management
Any Cloud Platform (Azure, AWS) knowledge/experience
MySQL
Hadoop
Microsoft Office knowledge (Word, PowerPoint, Excel, and Outlook)",,"As a years-long SWA client, I was elated to see the opening you’ve advertised for a cloud engineer/technician. I have several accomplishments under my belt in the cloud area, such as my 33% decrease in onboarding time, and I’d love to continue these wins with SWA.","During my IT studies at university, I had several proud achievements which would translate well to the open position, and I’d love the opportunity to bring similar results to SWA. Some of those achievements include:
My ultimate project before leaving uni was a highly-scored cloud architecture activity (99.35%).
I identified and implemented a change in cloud providers (to SWA, actually!), and this led to both a 15% increase in task completion speed as well as a 22% reduction in costs.","Securing the cloud engineer position at SWA would really be the highlight of my twenties. I’ve long been a fan of your company and its culture, and I’d be honored to bring my skill set and know-how over as a new employee.
I would be delighted for the chance to prove that my successes throughout university can be replicated and built upon for a career at SWA.",,,"0,8",1,1,,,,,"UX/UI, Figma, GameDev, Axure, MS Visio, Figma, Adobe InDesign, Unity, Communication, People Management, Project Management, MS Office, Presentation, Unreal Engine 4, Team building, Hiring, Management, Product Management, Strategy"
44,0,Casual Retail,Sales Assistant,Oxford,Student,"Motivation
Customer Service
Communication
Negotiating
stress resistant",,My teachers and educators have commended me for my willingness to participate and my dedication to helping out where possible. I enjoy working with others and believe that my strong communication skills will ensure that I can meet the expectations of this role. I believe that I have a lot to offer your organisation. I am keen to develop my professional skills and look forward to discussing my application with you at an interview. I have enclosed a copy of my resume for your consideration. I can be contacted at all times on the details provided above.,"As a student I have been extensively involved in my school community, which has allowed me to develop strong interpersonal skills. My involvement in various events, including drama eisteddfods and sports carnivals, has allowed me to work closely with my peers while supporting the school community as a whole.

These experiences have allowed me to develop strong time management and organisational skills, which I see as being very important when seeking to work in casual employment while continuing to study.

Personal attributes that I believe make me suitable for this position include:

Motivation: Volunteer participation and school results demonstrate high motivation.
Customer Service: Assisting with the sale of products at community events has allowed the development of customer service skills.
Communication: Acting in drama performances and working as an MC for school events has allowed the development of communication skills.","Growth is essential to my continued success, and I'm excited for the chance to be a part of Casual Retail industry-leading team. My proven track record and Casual Retail quality products are a winning combination for increasing the company's market share.",,,"0,8","0,8","0,8",,,,,"UX/UI, Figma, GameDev, Axure, MS Visio, Figma, Adobe InDesign, Unity, Communication, People Management, Project Management, MS Office, Presentation, Unreal Engine 4, Team building, Hiring, Management, Product Management, Strategy, P&L, Financial Management, Marketing Management, IT Infrastructure "
45,0,CodeStack,Business Development Intern,Heritage High School,Student,"Strong multi-tasking skills
Excellent communication skills
Ability to work in a fast-paced environment
Proficiency in Microsoft Word and Excel",,"My academic and career goals align with the internship’s stated objectives, and I am confident that I have the right skills for the job. I work equally well in team-oriented and self-directed environments and find the challenges of the start-up setting stimulating. In addition to my energy, I bring to the position an extensive knowledge of online syndication products and trends that will make a valuable contribution towards your company’s goals of building an audience and growing the brand.","In addition to taking business-related coursework like Intro to Business and Entrepreneurship, I served as president of my school chapter’s Model United Nations and as secretary of the Student Council. Beyond these extracurricular activities, I also actively volunteer at MUSC Children’s Hospital and the local homeless shelter. Taking on these roles has led to some of my proudest accomplishments, including:
Greeting and helping new patients and visitors as volunteer information desk assistant at MUSC Children’s Hospital.
Regularly delivering formal and imprompt speeches at Model UN meetings and conferences.","CodeStack is an emerging leader in the educational software industry, making the internship the perfect opportunity to grow my understanding of business development. I have no doubt that my unmatched enthusiasm and eagerness to learn can take the internship to new heights.",,,1,"0,6","0,7",,,,,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, Punctuality, Meticulousness, MS Office"
46,0,BBDO,Junior Marketing,Warwick Business School,Student,"advertising
PR
product development
market research
Marketing Analytics
Marketing Management
Survey Research
Strategic Internet Marketing
Integrated Marketing Communications
",,"While I have a comprehensive marketing and analytics background, my emphasis is on government campaigns. I believe that my knowledge of digital marketing and social media could be of interest to you, as I read that you are looking to grow your social media team.","Currently majoring in marketing, with a minor in statistics, and will receive my degree next spring. While I have a comprehensive marketing and analytics background, my emphasis is on government campaigns. Previously, I held an internship at another local advertising agency, working on critical projects for their clients. During that internship, I had the opportunity to learn the Adobe Creative Suite of products, including Photoshop and InDesign. I also learned how to craft compelling campaigns that garner attention in the healthcare space.",BBDO is my numbre one option because the majority of employees at BBDO believe the environment at BBDO is positive. Most Participants believe the pace of work at BBDO is comfortably fast and there are a lot of opportunity to grow as a professional.,,,"0,6",1,"0,8",,,,,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, SEO, e-mail marketing, marketing strategy, Communication, people management"
47,,,,,,,,"I’m energized by the prospect of applying my interpersonal skills and sales experience to the university recruiting coordinator opportunity with Cloud Tech. I think my enthusiasm for recruiting and ability to learn on the fly will serve me well in this role. I’ve outlined how my skills might fit with your specific needs below:

Applicant outreach: As a business development specialist, I’m comfortable seeking out new opportunities, making cold calls, and selling potential clients on the advantages of Sunny Sales software.
Interviews: I make an average of 50 phone calls a day, meet with at least five clients a week, and am at my happiest when I get to interact with a lot of different personalities. I’ve also gotten to participate in 10 interviews as part of a sales panel, resulting in two new hires for our organization.
Application management: I track my 1,500+ business development contacts as well as activities, pipeline, and 30+ active opportunities in a customer resource management system. As an organized, tech-savvy professional, I think I’d be able to master an applicant tracking system in no time.","After completing a degree in business administration, I decided to put my outgoing personality and laser-focused organizational skills to work as a business development specialist for Sunny Sales Inc. Over the past two years, I’ve sharpened my communication skills in client meetings, fine-tuned my presentation experience, and sourced more than 300 warm leads. Working in sales has given me an invaluable foundation, and now I’m ready to move from business development to recruiting.","Over the past few months, I’ve volunteered to represent my company at local college recruiting events, and I had no idea how much fun job fairs could be. As I meet with eager students, collect resumes, and chat with soon-to-be graduates about business development opportunities at Sunny Sales Inc., I often find myself thinking, I wish this were my full-time job. So you can imagine how excited I was when I discovered the university recruiting coordinator opportunity with Cloud Tech!",,,,,,,,,,"Google Analytics, SMM, PR, Google AdWords, Facebook Ads, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, SEO, e-mail marketing, marketing strategy, Communication, people management, Unit-economy, Financial management, revenue management, Team building, Hiring and Firing"
48,4,Optic,Product Manager,Lawrify,Senior Product Manager,"SQL, Python, ML, AI, Figma, Team management, Product management, B2B","Dear recruiter,","Over the past few years, I have successfully led several product teams and have developed and refined a lot of products and features. I specialize in the SaaS startup field and I’d like to apply my experience and knowledge to further improve the Optic product.","I am interested in the field of AI and machine learning. I find it interesting to implement AI-based solutions in real-world systems. For example, I did it for my last product called Lawrify. Moreover, I love working with startups and I hope that my experience will help me to further develop my skills in your organization.",Optic is my new home! Your position is an excellent opportunity to work on high-level product management projects. This role will allow me to learn more about new technologies in Web 3.0 and broaden my knowledge about AI and ML field as well.,Will be glad to talk to you about my experience and knowledge further,0.5,1,1,1,1,,,,"Google Analytics, Google AdWords, MixPanel, BigQuery, BigB, SQL, Meticulousness, MS Office, PPC, Communication, people management, Unit-economy, Hiring and Firing, SCRUM, Kanban, Agile,  SEO, Project Management"
49,5,Versel,QA engineer,Netfly.app,QA engineer,"POSTman, SQL, Python, Jira, Team management, Shell ",,"In my current role at Netfly, I'm responsible for testing, maintaining, and deploying features using the most advanced tools. The most important thing I do is make sure that users are happy with our product. In my spare time I like to dive deep into machine learning, programming, and art.","While I know little about the role for which I am applying, I do know that I bring excellent skills to the table. I am an experienced tester and have tested over 10 different types of software products. I also have experience in testing mobile applications as well as web applications. I was also a tester for several startups as well.","At Versel, we strive to make life better for our customers. We are a fast-growing startup with a goal of revolutionizing the way companies manage their software testing. Our goal is to provide our customers with the tools they need to deliver software with confidence.",,0,0.9,0.7,0,0,,,,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot"
50,5,Versel,QA engineer,Netfly.app,QA engineer,"POSTman, SQL, Python, Jira, Team management, Shell, Regression tests, auto tests ",,I have a solid background in testing and have been a part of several large scale projects. I also have experience in Python and Postman. I am looking for an opportunity to grow my skills and build a team.,"While working for Netfly, I was a part of a QA team that was responsible for the testing of all software products. I demonstrated my capabilities in the following areas: Testing the usability of mobile apps, testing the functionality of web applications, and testing the security of web services. At the Netfly.app, I've implemented a number of automated regression tests, tested web pages, integrated the code into the front-end, and helped to maintain the automated testing framework on the back-end.","My choice for Versel is motivated by the fact that it is a company with strong reputation in IT industry and that it's focused on building a modern software that has high impact on peoples' lives. In addition, I know that the company is well-organized, so I can be confident about my work and feel valued every day.",,0,1,1,1,0,,,,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach"
51,8,Airbnb,Senior QA engineer,Xing,Senior QA engineer,"POSTman, Selenium, SQL, Python, Jira, Team management, Shell, Regression tests, Auto tests",,"Over the past 8 years I have worked at Airbnb, Airbnb HQ, and Xing. I helped coordinate QA processes, drive testing, and automate testing across multiple platforms. In particular, I lead and managed all automated tests for new features and processes.","I’m passionate about helping people find their perfect home, whether it’s a house, apartment, or even a vacation home. When I build a website, it gives me great satisfaction to see that our customers are happy and satisfied. That’s why I want to help Airbnb customers find their next home.",Airbnb is the world's leading online marketplace for accommodation. I decided to join Airbnb because I wanted to contribute to the growth of a startup that allows people to connect with other travelers all over the world and find great accommodation at great prices.,,0,0.4,0,0,0,,,,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication"
52,9,Airbnb,Senior QA engineer,Xing,Senior QA engineer,"POSTman, Selenium, SQL, Python, Jira, Team management, Shell, Regression tests, Auto tests",,"Over the past two years, I've helped to launch over 20 projects at Xing, many of which were live within days of launch. The most prominent project that I am proud of was a SaaS platform built on React, React Native, GraphQL, API Gateway, and API Management.","During the last 4 years I have been working as a QA Engineer for Xing. After that, I was promoted to a Team lead. I took over the responsibilities of my team on QA and I managed the QA team. Currently, I am the Lead QA of Xing and I am responsible for QA processes, automation.",Airbnb - my choice as I always wanted to work at a startup. I really like the culture of this company and I hope to contribute to building the best platform for travelers. I look forward to working with the right people and helping them build the future of travel.,,0,1,1,1,0,,,,"Sales Development, Outreach, Сold calling, E-mail marketing, Presentation, MS Office, Communication, Hubspot, Structuring approach, Team management, Industry knowledge, English language, writing and oral communication, Sales Strategy, Mentoring"
53,1,Product plan,Junior system analyst,Hygger,Junior system analyst,"SQL, Postman, OOP, Docker, Scrum, Agile, Kanban, Django, Cyber Security, Comminication, Dilligence, Attention to details",,"After my internship at Hygger, I realized that my passion was to work with product teams. I enjoyed interacting with a wide range of people and learning new things. I saw how product teams work and what it takes to make a product successful. So I decided to become a junior system analyst for Product plan.","After graduating from a top 10 college, I decided to continue my education and pursue a career in the IT industry. I took a number of courses in Python, Django, DevOps, and Java. I then joined Hygger and became a junior system analyst. I worked on a variety of projects and gained experience in various areas of management.","HygGER is one the most innovative companies in IT sector. It is headquartered in Moscow, Russia, but it has offices in over 40 countries. Hygger was founded in 2009 by two Russian entrepreneurs. For the last 10 years, they have been creating great products and services that make our lives easier.",,0,0.9,1,0,0,,,,"Communication
Project management
Hiring, Onboarding & Termination
Organizational Skills
Conflict Resolution"
54,1,Product plan,Junior system analyst,Hygger,Junior system analyst,"SQL, Postman, OOP, Docker, Scrum, Agile, Kanban, Django, Cyber Security, Comminication, Dilligence, Attention to details",,"After graduating from college, I joined Hygger as a junior system analyst. Being a part of this company has allowed me to gain a lot of valuable experience. The most valuable part of Hygger is the opportunity to learn new things and grow as a person. I would like to continue this growth within your organization.
",I have a strong desire to learn and grow in my role. I am able to work well as part of a team and communicate effectively. I also have a knack for asking questions and trying to understand what other team members are doing before I start doing it myself.,"Product Plan is a new company for me, but I’m very excited to start working in such a challenging industry and be a part of such an innovative team! I love working with startups and want to join a company with a big vision and a growing team.",,0,1,1,1,0,,,,"Communication
Problem-Solving
Patience
Empathy"
55,3,Tinder,System analyst,Huawei,System analyst,"SQL, Postman, OOP, Docker, Scrum, Agile, Kanban, Cyber Security, Comminication, Dilligence, Attention to details, Python, Django, Code-review, Architecture Design, Team management, People management, GitHub","Dear recruiter, I'm thrilled to apply to your postition of the system analyst.","With over 12 years of experience in the field of Information Security, I've gained a broad understanding of information security, from incident response to penetration testing and code analysis. I also have solid experience with Git and Git Flow and have been involved with a variety of development projects, from internal to external, including mobile and web applications.","As a senior software developer, I know how hard it is to get the right people in a startup. I also know that it's important to have a strong team, and I think that's why I would be the perfect fit at Tinder.","We are a small team in Tinder, but we are working together on a big project. We have a lot of challenges and challenges are great learning experience. We are developing a new kind of mobile application, which will be used by millions of users worldwide. You can find more about us on our website: https://www.tinder.",,1,0.2,0,0,0,,,,"Communication
Problem-Solving
Team Management
Patience
Empathy"
56,3,Tinder,System analyst,Huawei,System analyst,"SQL, Postman, OOP, Docker, Scrum, Agile, Kanban, Cyber Security, Comminication, Dilligence, Attention to details, Python, Django, Code-review, Architecture Design, Team management, People management, GitHub","Dear recruiter, I'm thrilled to apply to your postition of the system analyst.","While working at Huawei, I gained valuable experience in the following areas: Data Security, Information Security, Cyber Security. I acquired knowledge and skills in Information security, Data security, Cyber security, and Information security.","I have experience with designing and developing systems that are used for data analysis and information management. As a system analyst, I designed and implemented systems that had high resistance to the load and had high rate of the cybersecurity. Having worked with Huawei for the past 3 years, I've gained a wealth of knowledge on how to manage and grow a team. I was an active part of Huawei's DevOps team which included managing their environment and infrastructure, as well as working on their CI/CD pipelines.",Tinder is my choise because this is a global company which has a lot of potential to do great things in the future. Tinder vision is to make people confident and happy by connecting them with the people they love. I want my work to be relevant and meaningful and I believe that Tinder would be the perfect place for me to do so.,,1,1,0.8,1,0,,,,"Communication
Problem-Solving
Math modelling
Team Management
Excel
Power Point"
57,8,Tencent,Lead system analyst,Alibaba,Lead system analyst,"SQL, Postman, OOP, Docker, Scrum, Agile, Kanban, Cyber Security, Comminication, Dilligence, Attention to details, Python, Django, Code-review, Architecture Design, Team management, People management, C++, Shell, Ruby, Critical thinking, Team management",,"In my long career as a software engineer and system analyst, I have spent years building complex systems, from large enterprise systems to small microservices. In the past, I led teams of analysts, architects and developers to build systems from scratch. At Alibaba, I worked with teams on projects ranging from complex infrastructure systems to simple web services.","You are a highly talented professional who is ready to take on a challenging role and put your skills to work in an industry that is at the forefront of technology. As a Lead Systems Analyst at Tencent, you will be responsible for developing systems that support the mobile applications of Tencent’s cloud services.
","Tencent is my favorite company because of it’s reputation for being one of the biggest and most successful companies in China. Tencent has built a strong reputation around innovation, global leadership and world class products. It is a place where you can learn a lot from and grow as an individual and as a team.",,0,0.9,0.3,1,0,,,,"Communication
Problem-Solving
Math modelling
Excel
Power Point"
58,8,Tencent,Lead system analyst,Alibaba,Lead system analyst,"SQL, Postman, OOP, Docker, Scrum, Agile, Kanban, Cyber Security, Comminication, Dilligence, Attention to details, Python, Django, Code-review, Architecture Design, Team management, People management, C++, Shell, Ruby, Critical thinking, Team management",,"Over the past years I have gained experience in the following areas: DevOps, System administration, Infrastructure management, DevOps engineering, Cloud infrastructure, Software development, and System architecture. Additionally, my experience with Amazon AWS, Azure, RedHat Linux, and Docker have given me the skills to develop, deploy, and maintain a scalable and reliable infrastructure.","Over the past year, I have worked in three different companies in the software development industry. In each company, my responsibilities have included: working as the lead system analyst, managing a team of developers and coders, conducting code reviews, ensuring the quality of software projects, and writing documentation.
I have a background in software development and have worked on several large projects across multiple industries. I bring a broad understanding of the business and technology and have always been driven to solve problems and build software. On the other hand, I also have an understanding of how to lead and manage a team and the capabilities of each member.","Tencent is a global internet conglomerate company with a powerful presence in China, the USA, Europe, Africa and Asia. Moreover, this is a company with a great name and great reputation. It's my choice for the position because it offers great opportunities to grow and learn. Moreover, it has an extremely flexible working environment. I would also like to work with some of the best people in the world.",,0,1,1,1,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, VBA"
59,5,Telegram,Qt developer,Signal,Qt developer,"Algorithm optimization, Image recognition, computer vision, C++, PostgreSQL, Linux, Debian, Shell, Python, Mathlab, Jira, Slack, Data structure",,Over the past 5 years I have built several successful applications using Qt and I'm currently in the process of building a next generation application based on the Qt framework that will be used by millions of people across the globe. In my free time I like to spend time learning new technologies and trying to solve difficult problems.,"I’m a software engineer with 5 years of experience in Qt, machine learning and AI. I worked as a full-stack engineer in Signal and was responsible for several machine learning projects. I also worked in a startup where I was a full stack engineer. I currently work as a senior software engineer at Signal.","Telegram is a messenger that allows users to communicate with each other. You can send messages, video calls, images, documents and links. Telegram combines the simplicity of messaging with the power of a chat application. In my opinion, this company is the one that deserves to have the best developers.",,0,1,0.6,0,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, VBA, Problem solving"
60,5,Telegram,Qt developer,Signal,Qt developer,"Algorithm optimization, Image recognition, computer vision, C++, PostgreSQL, Linux, Debian, Shell, Python, Mathlab, Jira, Slack, Data structure",,"Over the past 5 years I have worked on projects ranging from small scale research projects to large enterprise-scale projects. I'm currently working on a research project for Signal, which is a messaging app. This project is aimed to build a powerful neural network to recognize images."," I have 5 years of experience developing software using the Qt library. I have some experience with mobile development, but mostly with desktop applications. As a Qt developer, I was responsible for developing the backend of Signal, an open source messenger. The backend was designed with scalability and security in mind, as well as having a modular structure that allowed for easy extension. I had a chance to work with the Signal Protocol team, which enabled me to build the foundation of the Signal protocol.","Telegram is a smart choice for me because it will give me opportunities to become a leading member of a strong team and to develop my project further, since I believe in the importance of open source. Telegram’s vision of creating a global community and facilitating communication between individuals and organizations is aligned with my own.",,0,1,1,1,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, VBA, Problem-solving, Critical thinking, Teamwork, Curiosity "
61,1,Bloomberg,Junior UX/UI Designer,Morning Brew,Junior UX/UI Designer,"UX/UI, Figma, Adobe Photoshop, UX-tests, Protoyping ",,"Over the past two years, as a junior UX designer at Morning Brew, I've made a tremendous impact on the design of our mobile app and website. I'm particularly interested in working with people who are passionate about what they do.
","I enjoy working on new projects and learning how to use new technologies. I am comfortable with both front-end and back-end development. I also enjoy creating prototypes and working with different tools, such as Sketch, Figma (or Photoshop), Adobe XD or Photoshop.",Bloomberg is my first choice due to its reputation of one of the leading financial media and its excellent work culture. I also like that the company provides many opportunities to learn new things.,,0,0.2,0.1,0.6,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, VBA, Problem-solving, Critical thinking, Teamwork, Curiosity, Balanced Scorecard, Business Performance Management, GAAP, CIMA, CFA  "
62,1,Bloomberg,Junior UX/UI Designer,Morning Brew,UX/UI Designer,"UX/UI, Figma, Adobe Photoshop, UX-tests, Protoyping ",,"I would be perfect for this position because I've been doing UX and UI for small startups in my previous job. I'm very happy with my work and have had great feedback. I also know the importance of having a good UX and I have been taking classes on how to do it properly. My goal is to create beautiful, usable experiences for people to use everyday. I want to do this by creating meaningful design patterns, with clear goals, and I'm especially interested in how to make the user experience more intuitive and easy to understand.",I've always been drawn to designing and building systems and applications for others to use. When I graduated from college I was lucky enough to land a position as an UX Designer at a small startup. After about a half year of working there I left to pursue a full-time career at Morning Brew.,"Bloomberg is the leading financial data provider in the world. It aims to provide users with the best, most reliable information. I love working with people who are passionate about what they do, who push the boundaries and are always looking for ways to improve. Bloomberg has an amazing team culture and is an excellent place to grow and learn.",,0,1,0.9,0.8,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, SQL"
63,3,Databricks,UX/UI Designer,New York Times,UX/UI Designer,"UX/UI, Figma, Adobe Photoshop, UX-tests, Prototyping, Adobe XD, People management, Jira, Slack ",,"From day one, I've been a trusted collaborator and a valuable member of the Data as a Service team. Throughout my time at NYT, I helped define and deliver a range of features and services for our users and customers, including visualizations, web interfaces, mobile apps and many more.","The job description describes a UX Designer with the ability to build high quality web interfaces and mobile apps for data visualizations. The role requires you to work with data visualizers, developers, product owners and customers to create data visualization solutions that are usable, intuitive, and fun.","Databricks is my dream company, because I believe that they are one of best in their field and that their mission is to make the world a better place. I want to grow with them and become part of their team. I’m looking forward to work on some innovative projects, to learn new technologies and meet new people.",,0,1,0,0.9,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, Neatness, CIMA, GAAP, IFRS"
64,3,Databricks,UX/UI Designer,New York Times,UX/UI Designer,"UX/UI, Figma, Adobe Photoshop, UX-tests, Prototyping, Adobe XD, People management, Jira, Slack ",,"As a UX/UI designer I want to help you build the best product possible. The UX/UI design process is about learning about your users, understanding their needs, and then creating a product that satisfies those needs. For me this means keeping in mind the end goal of the user when designing a product or solution.","In early 2019, I joined the NYT as an intern. While there, I worked with a team of designers to design a new set of web apps, which included a digital product, an app for managing personal finances, a news app and an app that helps you track your daily calorie intake as a pet project. Working at New York Times, I learned how to quickly prototype and test my ideas. I developed user personas and user flows for various projects, worked with other designers on design decisions, and helped with visual design decisions. This experience allowed me to excel in the roles I have since taken as a designer.","In my opinion and after detailed research I can proclaim that Databricks is a startup with a great potential. You are a team of experts in Big Data and you are the first team in the world to build a product that can scale user experience. Databrick is the only platform that allows an end-to-end experience of data analytics, including creating data models and developing reports. And that sounds like a challenge for me. That's why I want to be a part of your team.",,0,1,1,0.8,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, Neatness, Punctuality, Attention to details"
65,7,Meta,Lead UX Designer,VK,UX Designer,"UX/UI, Figma, Adobe Photoshop, UX-tests, Prototyping, Adobe XD, People management, Jira, Slack, Team management, Hiring, Team building, KPI, OKR, CJM",,"Over the past 7 years I have gained valuable experience in designing and developing the visual and user interface of various mobile applications. I designed and developed the user experience of more than 14 different applications, ranging from basic to complex, including the entire user journey.","I have experience in designing and developing user interfaces and experiences across all kinds of devices. I was also involved in building and running a marketing and branding agency, where my role included designing new websites, mobile apps, and video campaigns. Furthermore, I was the lead UX designer for a large e-commerce platform that had over 5 million monthly unique visitors.","Meta is a great company, with a great vision and a lot of potential in the future. I choose it, because I believe that Meta will become one of the leaders in the social media industry and it will have a huge impact on our lives.",,0,0.8,0.9,0.8,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, Neatness, CIMA, GAAP, IFRS, VBA, SQL, Python"
66,7,Meta,Lead UX Designer,VK,UX Designer,"UX/UI, Figma, Adobe Photoshop, UX-tests, Prototyping, Adobe XD, People management, Jira, Slack, Team management, Hiring, Team building, KPI, OKR, CJM",,"Due to my extensive experience in the UX design field, I'm able to solve problems and work on complex projects. I've built a solid foundation in UX testing, prototyping and people management. I know how to create a unique identity for a product and help it stand out from the competition. Also, I enjoy working with UX designers at the beginning of their career. I see their work as a learning opportunity, and I try to help them get to know the business and the role they’ll play. I also like to give designers a chance to have an impact on products and services that they use everyday.","I have over 8 years of experience in UX Design. I am very passionate about UX & UI design and I always follow the latest trends in design. I work with different kind of clients in different industries. I also have a solid experience in leadership, team management and building successful projects. At VK, I was responsible for user experience and design for the VK Music and VK Mini Apps. I led a project to build a new music player that was used by 25 million users. I also worked as a lead UX designer for VK's native messaging app. ",In Meta I want and am looking forward to change my technical background in software development into UX design and implement the new UX projects. Meta is the company with a great reputation in UX and design. I expect to achieve great results and be able to show my skills in creating a new project.,,0,1,1,1,0,,,,"P&L, Balance Sheet, Cash Flow Statement, Financial Management, Communication skills, Responsibility, MS Office, Excel, Neatness, CIMA, GAAP, IFRS, VBA, SQL, Python, Strategic Planning, Team Management"
